Name,Gender,Frequency
Emma,F,20355
Olivia,F,19553
Noah,M,19511
Liam,M,18281
Sophia,F,17327
Mason,M,16535
Ava,F,16286
Jacob,M,15816
William,M,15809
Isabella,F,15504
Ethan,M,14991
Mia,F,14820
James,M,14705
Alexander,M,14460
Michael,M,14321
Benjamin,M,13608
Elijah,M,13511
Daniel,M,13408
Aiden,M,13378
Logan,M,12862
Matthew,M,12648
Abigail,F,12311
Lucas,M,12246
Jackson,M,12182
Emily,F,11727
David,M,11691
Oliver,M,11592
Jayden,M,11475
Joseph,M,11375
Charlotte,F,11332
Gabriel,M,10782
Samuel,M,10733
Carter,M,10727
Anthony,M,10564
John,M,10303
Harper,F,10241
Dylan,M,10232
Luke,M,10219
Henry,M,10112
Madison,F,10038
Andrew,M,10027
Isaac,M,9878
Amelia,F,9795
Christopher,M,9742
Joshua,M,9720
Elizabeth,F,9656
Sofia,F,9650
Wyatt,M,9597
Sebastian,M,9569
Owen,M,9549
Evelyn,F,9313
Avery,F,9298
Caleb,M,8727
Nathan,M,8530
Ryan,M,8474
Jack,M,8456
Hunter,M,8284
Levi,M,8236
Christian,M,8127
Jaxon,M,8015
Julian,M,8003
Landon,M,7896
Chloe,F,7884
Ella,F,7852
Grayson,M,7852
Grace,F,7589
Jonathan,M,7577
Victoria,F,7575
Isaiah,M,7528
Aubrey,F,7357
Charles,M,7125
Thomas,M,7123
Aaron,M,7113
Scarlett,F,7100
Eli,M,7087
Zoey,F,6900
Connor,M,6729
Jeremiah,M,6724
Cameron,M,6713
Addison,F,6683
Lily,F,6617
Josiah,M,6605
Lillian,F,6571
Adrian,M,6489
Natalie,F,6466
Hannah,F,6372
Aria,F,6371
Layla,F,6289
Colton,M,6270
Brooklyn,F,6268
Jordan,M,6254
Brayden,M,6220
Nicholas,M,6194
Robert,M,6076
Angel,M,6059
Alexa,F,6029
Hudson,M,6008
Zoe,F,5995
Lincoln,M,5959
Penelope,F,5921
Evan,M,5863
Dominic,M,5811
Austin,M,5767
Gavin,M,5741
Nolan,M,5713
Riley,F,5707
Leah,F,5585
Audrey,F,5581
Savannah,F,5413
Parker,M,5383
Adam,M,5360
Chase,M,5340
Allison,F,5329
Jace,M,5311
Samantha,F,5304
Nora,F,5301
Ian,M,5288
Skylar,F,5258
Camila,F,5257
Cooper,M,5238
Easton,M,5199
Kevin,M,5157
Jose,M,5146
Tyler,M,5131
Anna,F,5094
Brandon,M,5085
Asher,M,5059
Paisley,F,5056
Jaxson,M,5028
Mateo,M,4987
Jason,M,4968
Ariana,F,4933
Ayden,M,4862
Ellie,F,4838
Aaliyah,F,4836
Zachary,M,4809
Claire,F,4805
Violet,F,4779
Stella,F,4769
Sadie,F,4731
Carson,M,4723
Mila,F,4712
Xavier,M,4605
Gabriella,F,4579
Leo,M,4561
Lucy,F,4512
Arianna,F,4498
Kennedy,F,4496
Sarah,F,4476
Madelyn,F,4467
Eleanor,F,4402
Kaylee,F,4346
Caroline,F,4304
Ezra,M,4299
Bentley,M,4287
Hazel,F,4270
Sawyer,M,4245
Hailey,F,4221
Kayden,M,4216
Blake,M,4211
Nathaniel,M,4176
Genesis,F,4148
Kylie,F,4142
Ryder,M,4130
Theodore,M,4111
Autumn,F,4101
Piper,F,4100
Maya,F,4099
Elias,M,4062
Nevaeh,F,3968
Serenity,F,3943
Peyton,F,3888
Tristan,M,3885
Roman,M,3862
Mackenzie,F,3838
Leonardo,M,3810
Bella,F,3760
Camden,M,3750
Eva,F,3735
Taylor,F,3732
Naomi,F,3731
Brody,M,3723
Luis,M,3718
Miles,M,3701
Micah,M,3700
Vincent,M,3697
Justin,M,3693
Aubree,F,3617
Aurora,F,3613
Greyson,M,3578
Declan,M,3560
Maxwell,M,3519
Juan,M,3510
Melanie,F,3482
Cole,M,3475
Lydia,F,3474
Damian,M,3474
Brianna,F,3459
Ruby,F,3433
Katherine,F,3429
Ashley,F,3409
Carlos,M,3400
Max,M,3398
Alexis,F,3395
Alice,F,3395
Cora,F,3378
Julia,F,3347
Harrison,M,3316
Madeline,F,3305
Weston,M,3305
Faith,F,3288
Brantley,M,3282
Braxton,M,3278
Annabelle,F,3250
Alyssa,F,3233
Axel,M,3229
Diego,M,3218
Abel,M,3216
Wesley,M,3213
Santiago,M,3202
Isabelle,F,3198
Vivian,F,3183
Jesus,M,3166
Gianna,F,3161
Silas,M,3153
Giovanni,M,3118
Bryce,M,3114
Jayce,M,3105
Bryson,M,3088
Alex,M,3085
Quinn,F,3077
Clara,F,3049
Reagan,F,3038
Everett,M,3032
George,M,3032
Eric,M,3028
Ivan,M,3028
